 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 2 	 CHEMBL1641348	 Solute carrier family 22 member 8 
 3 	 CHEMBL3439	 Aminopeptidase A 
 4 	 CHEMBL1907	 Aminopeptidase N 
 5 	 CHEMBL220	 Acetylcholinesterase 
 6 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 7 	 CHEMBL3252	 Beta-1 adrenergic receptor 
 8 	 CHEMBL3511	 Ornithine decarboxylase 
 9 	 CHEMBL2753	 GABA-B receptor 1 
 10 	 CHEMBL205	 Carbonic anhydrase II 
 11 	 CHEMBL261	 Carbonic anhydrase I 
 12 	 CHEMBL3242	 Carbonic anhydrase XII 
 13 	 CHEMBL3594	 Carbonic anhydrase IX 
 14 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 15 	 CHEMBL2326	 Carbonic anhydrase VII 
 16 	 CHEMBL3510	 Carbonic anhydrase XIV 
 17 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 18 	 CHEMBL1970	 Alcohol dehydrogenase alpha chain 
 19 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 20 	 CHEMBL1903	 GABA transporter 1 
