"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AATK",0.0113979492382266,-0.259387337243853,0.17,0.188,0.0132707223957675
"SCRT1",0.0116214378046725,-0.170624237998497,0.094,0.106,0.0135262628416702
"PAQR3",0.0116465752608584,0.145861496554206,0.138,0.123,0.0135508445515265
"PDCD10",0.0116856270939566,0.147712801026891,0.103,0.091,0.0135915931682468
"FEM1B",0.0117076192686839,-0.174504095584506,0.134,0.151,0.0136124783844436
"CNTNAP1",0.0117665131240268,-0.173932589678566,0.121,0.133,0.0136762400990153
"ST13",0.0118006567073987,-0.115551259216872,0.141,0.15,0.0137112005077698
"AP000769.1",0.0118308744092675,-0.109331521734682,0.124,0.123,0.0137415769223344
"COL11A1",0.0118487874408793,0.111398148237403,0.196,0.176,0.0137576454520089
"ZBTB43",0.011943872717643,0.139123893790846,0.111,0.099,0.0138632769017928
"HIPK1",0.0119558470930046,-0.11815308636865,0.097,0.104,0.0138724018729634
"MAP4",0.0121620467562723,-0.131962862086141,0.28,0.291,0.0141068032011371
"ARPC5L",0.0122222020855687,-0.235479627023725,0.104,0.122,0.0141717042401593
"COPS8",0.0124009472676077,-0.152168283467298,0.107,0.116,0.0143740189462683
"MAP1LC3A",0.012446604174179,-0.15751199575622,0.299,0.318,0.0144219841564774
"ABCA2",0.0126279824124236,-0.185181896950077,0.208,0.217,0.0146271238588959
"NCOA6",0.0126747061769818,0.112173196465734,0.123,0.111,0.014676204577741
"PHF24",0.0127986167154198,-0.140999430051715,0.116,0.128,0.0148145964931747
"ANKAR",0.0128138582007947,0.111906243149943,0.185,0.164,0.0148271505012969
"RING1",0.0128246774733069,-0.244772843404257,0.103,0.118,0.0148345806301317
"DAZAP1",0.0129466762831259,-0.256384019786783,0.094,0.105,0.0149705653421267
"KRIT1",0.012977362548069,0.125258487246541,0.166,0.15,0.0150009060571064
"BTBD2",0.0129964997656556,-0.197487569925726,0.101,0.11,0.0150178806815883
"ATG9A",0.0130576705639726,-0.221394615685654,0.091,0.103,0.0150833982233834
"UIMC1",0.0130833269935008,0.172593625388293,0.107,0.094,0.0151078609890716
"PPP2R3A",0.0131030643388182,0.130225994740708,0.107,0.094,0.0151254743377254
"CDH4",0.0131163991870657,0.150495338561015,0.129,0.111,0.0151356874642397
"RNF44",0.0131807571661652,-0.169546240431929,0.091,0.1,0.015204751683131
"TXN",0.0134234937503523,-0.127632899460754,0.098,0.109,0.0154794681777567
"CAPZB",0.013679333953719,-0.123985712775579,0.195,0.205,0.0157691023328415
"RP11-437B10.1",0.0138356744624703,-0.145706423998721,0.122,0.128,0.0159438776774556
"PRRC2A",0.0138506608787999,-0.274174479716152,0.124,0.141,0.0159556964290274
"KRR1",0.0140772015550984,0.155478948440978,0.108,0.096,0.0162111303671379
"TRMU",0.0142634204103503,-0.206437678605158,0.094,0.103,0.0164199716874101
"SLC38A2",0.0143698225896704,-0.15160945685281,0.121,0.132,0.0165368173302485
"RFK",0.0145339532282358,-0.141375263048842,0.097,0.11,0.0167199946244336
"POMT1",0.0145584872543863,0.166108314382334,0.119,0.104,0.0167425085267798
"GNB5",0.0145717300473847,0.133741381839425,0.19,0.17,0.0167520263973513
"SGCE",0.0146040598762144,0.105944581608239,0.155,0.139,0.0167834732410464
"C6orf62",0.0148065861360518,0.115243809667972,0.232,0.212,0.0170104274648851
"ZNF462",0.014964907939852,-0.167405076921531,0.109,0.116,0.0171864604974875
"PCMT1",0.0149987877175718,0.13234051841598,0.253,0.238,0.0172195067976071
"ERO1B",0.0150224018084768,0.169861060365169,0.126,0.112,0.0172407489962546
"RAD50",0.0151874703432909,0.131496362312018,0.152,0.134,0.0174242644448708
"STX3",0.0151965830376961,0.141207869124945,0.105,0.094,0.0174287910867559
"ABHD12",0.0152882693716335,-0.105028335899633,0.129,0.134,0.0175279852449082
"TRIM13",0.0156196564847149,0.128781453151613,0.102,0.091,0.0179018353119073
"AGAP6",0.0157465499162559,0.157375664967808,0.125,0.111,0.0180411388816342
"ZMIZ2",0.0160569813151488,-0.198942054206026,0.117,0.127,0.0183905595843793
"NR2F1",0.0160867975573021,-0.135087173914026,0.122,0.129,0.0184184549086151
"CCDC138",0.0161131769048688,0.262203120854938,0.118,0.098,0.0184423975908118
"RHOA",0.0161962268435715,-0.174584923683953,0.103,0.112,0.0185311645669493
"BMPR1A",0.0162727086459011,0.12915270209348,0.136,0.12,0.0186123588547387
"RYK",0.0162865473754092,0.115941510659383,0.159,0.142,0.0186218726431374
"FAM214A",0.0165057979242073,0.128798105912978,0.131,0.116,0.0188661661803969
"UBE2N",0.016543291478603,-0.179716628948835,0.159,0.175,0.0188968874935215
"ARHGEF4",0.0165438804531186,-0.127005145693563,0.269,0.275,0.0188968874935215
"MARCKS",0.0165850206601984,-0.101045076070288,0.169,0.182,0.0189374660415874
"CCNG2",0.0169290524081778,-0.106079478529129,0.099,0.104,0.0193237542378286
"EPS15L1",0.0172486422812393,0.154622160101097,0.163,0.142,0.0196818912092761
"TCAIM",0.0178413221753376,0.128920547658328,0.111,0.1,0.0203470594316952
"VWC2L",0.0178436412092957,0.111846658255556,0.136,0.129,0.0203470594316952
"CACUL1",0.0180700436106695,0.141969025741244,0.149,0.131,0.0205982619461941
"TCEA2",0.0181943509333954,-0.101586996692026,0.17,0.178,0.0207329546278184
"BRMS1L",0.0183040774697957,0.186361619788971,0.106,0.092,0.0208509467428642
"SNAPC3",0.0186466753840478,0.159871472683947,0.112,0.098,0.02123404323781
"MAMDC2",0.0186679249738508,0.149442080090914,0.168,0.151,0.0212510668028345
"MEST",0.0191040514080528,0.183864127347379,0.105,0.092,0.021740204250797
"CX3CL1",0.0191927902091933,-0.138419689508887,0.133,0.145,0.0218338217118411
"TBC1D1",0.0192513179783929,0.137949571459136,0.143,0.125,0.0218930194002425
"KLF9",0.0194047048621373,-0.14146197962713,0.093,0.102,0.0220600166835151
"SKIV2L2",0.0195572464834408,0.179678050162971,0.119,0.103,0.022225940831754
"CLEC2L",0.0195788848841607,0.117851463565765,0.11,0.1,0.0222430376269026
"RNF144A",0.0198359902146562,0.119906918295383,0.251,0.224,0.0225275404020321
"PDHX",0.0198696928046406,0.11166385361411,0.158,0.144,0.0225582207438751
"CSDE1",0.0199356549393433,-0.16171508079612,0.207,0.221,0.0226254926347258
"EHMT2",0.0199760338490764,-0.226129171495371,0.094,0.106,0.0226636939700419
"SCAMP5",0.0200106801687464,-0.123053419307689,0.322,0.333,0.0226953679250779
"HABP4",0.0203947112667174,-0.103189196180984,0.106,0.112,0.0231179364415822
"CRADD",0.0203969697154309,0.122426329743147,0.123,0.109,0.0231179364415822
"OGFR",0.0204472257417707,-0.152328942354262,0.149,0.156,0.0231671120010052
"RALA",0.0205169141551187,0.108011753226297,0.126,0.113,0.0232382644208245
"PARD3",0.0205920689784868,-0.153903271632538,0.114,0.124,0.0233155584640605
"POLR2K",0.0207742781148516,-0.130963595549861,0.094,0.104,0.0235139731816759
"MIER1",0.0209732403346232,0.100733863561814,0.122,0.111,0.0237312108851674
"CLCN7",0.0210443049208039,-0.138152831343981,0.148,0.153,0.0238036353111574
"GRIK5",0.0211438226026508,-0.14169873455484,0.106,0.111,0.023908184257037
"FAM217B",0.02129472920892,-0.175939480945741,0.137,0.149,0.0240707512137021
"SETX",0.021441626246958,0.158813250609837,0.164,0.145,0.024228678502844
"SOX6",0.0216295592180729,-0.15448789727642,0.166,0.18,0.0244328544013932
"CHMP4B",0.0219331172985487,-0.131147011374425,0.118,0.128,0.0247674605450301
"CD200",0.0221132282252637,-0.14038263737765,0.174,0.185,0.0249624895595095
"LRCH1",0.0221543333114991,0.136696255069006,0.153,0.137,0.0250005240079246
"CEP290",0.0223073393228969,0.187607210296914,0.18,0.155,0.0251647677378365
"NEMF",0.0224810180568219,0.126797889137355,0.196,0.175,0.0253522146123906
"FDFT1",0.022907908351182,-0.185576419397436,0.098,0.107,0.0258249916004469
"CDH20",0.0235544101685388,-0.132457148333184,0.186,0.196,0.0265401908721295
"AFAP1",0.0235580585446652,0.101803627230944,0.116,0.107,0.0265401908721295
"BAG4",0.0237135340112358,-0.143586085255698,0.11,0.117,0.0267064274523868
"SGCZ",0.025168827159543,0.108412793686468,0.472,0.464,0.0283359325798193
"DROSHA",0.025180282882787,0.129947035646805,0.107,0.097,0.0283393707586388
"CCND2",0.0254938328937038,0.169130865336033,0.18,0.161,0.0286826879087601
"RNF216",0.0255345487518705,0.212723047162191,0.118,0.101,0.0287189172857817
"PTPN12",0.025932218351012,0.152508088497785,0.162,0.143,0.0291564574993211
"AACS",0.0260054915931359,0.110550079285285,0.137,0.125,0.0292290980152107
"PDGFC",0.0260815611605054,0.103512099824708,0.131,0.12,0.0293048320434326
"FBXO32",0.0265095843807126,0.157615857898985,0.125,0.11,0.0297758335385094
"NEFM",0.0268027916362567,-0.217734657541296,0.116,0.126,0.030095145202761
"FXR1",0.0270111227957506,-0.10938333756496,0.177,0.183,0.0303189741065114
"CREBRF",0.0271637987648737,-0.121182182746413,0.172,0.182,0.0304802040032997
"PPP1R12C",0.0275022313541972,-0.148773380510555,0.101,0.108,0.0308496928359518
"TERF1",0.0275715679235816,0.10616922241386,0.135,0.123,0.0309171870366491
"VMP1",0.0277044393522433,0.142024555631384,0.2,0.176,0.0310558570738175
"MAP7D1",0.0277993068323224,-0.18719943110991,0.134,0.148,0.0311518478223998
"SPATA7",0.0279186823968908,0.166011374725209,0.145,0.128,0.031275229400436
"PRELID2",0.0281828508254783,0.167183507721495,0.109,0.094,0.0315606759078148
"GBAS",0.0282501792618949,0.10726457782513,0.114,0.102,0.0316255740625196
"PSD",0.0283745238141657,-0.159465220057752,0.21,0.223,0.031754236504705
"CTTNBP2",0.0283845529272661,0.144898594680924,0.231,0.204,0.0317549243859597
"NEK11",0.0284058036290542,0.150169264945348,0.141,0.123,0.0317621541607992
"DENND6A",0.028409848533392,0.119020220409042,0.15,0.134,0.0317621541607992
"SENP2",0.028687154673621,0.100882030010976,0.137,0.123,0.0320615549085897
"SLC27A1",0.0287252481733519,-0.211880162258163,0.111,0.116,0.032093495226471
"FAAH",0.0293387232736733,-0.185904302741829,0.102,0.11,0.0327680508616225
"PDE2A",0.0294709146877848,0.132955323410388,0.264,0.238,0.0329047981601782
"STK38L",0.0299179833026454,0.10127390875169,0.11,0.1,0.0333929045929262
"EPHA10",0.0299378746741062,0.121874466413124,0.101,0.09,0.0334040526879789
"EFCAB2",0.0300482661336623,0.194908977253051,0.112,0.096,0.0335161381180037
"LRRN3",0.0301584560331765,-0.116969989792273,0.127,0.133,0.0336279246941833
"C5orf24",0.0305530228458454,-0.181552591630629,0.106,0.118,0.0340566246064231
"SPCS2",0.0305953158054781,-0.166127082881418,0.18,0.194,0.0340925008958961
"ELP4",0.0308512758579982,0.120450124103645,0.163,0.147,0.0343663650822417
"AMPD2",0.0309662935337189,-0.147396453693864,0.094,0.101,0.0344830994021901
"ANAPC16",0.0310233990970131,0.101274253596348,0.133,0.123,0.0345352888297773
"AJAP1",0.0311784365291817,0.126506599195777,0.125,0.112,0.034696425738347
"SUCLA2",0.0313822714040352,0.109644433152432,0.12,0.11,0.0349117419016526
"LCLAT1",0.0314098786380224,0.104375744334692,0.161,0.147,0.0349309332825749
"CXADR",0.0314555853800599,0.117991181949544,0.177,0.16,0.0349702338453995
"NME3",0.0317022233857417,-0.13474150647982,0.164,0.173,0.0352328169621439
"MTURN",0.0320774755130662,-0.133778692436517,0.228,0.244,0.0356381175578302
