"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ACTB",2.02662309810801e-104,-0.717245368041436,0.36,0.506,5.84275439184539e-101
"GAPDH",3.78496661341512e-93,-0.750995892968332,0.263,0.39,5.4560293732379e-90
"CKB",3.66117427707816e-73,-0.63152572767535,0.345,0.463,3.51838848027211e-70
"GLUL",2.69314533659406e-72,-1.29195930354284,0.121,0.199,1.94108450135017e-69
"SNCB",5.59289187328374e-60,-0.748985728288,0.194,0.287,3.2248614541354e-57
"TUBB3",1.12036240007822e-58,-0.761815036665368,0.117,0.195,4.93354331535279e-56
"CLU",1.19787732249287e-58,-0.742089307137742,0.263,0.369,4.93354331535279e-56
"FAIM2",1.10762798765677e-49,-0.538633008895729,0.252,0.342,3.76468139712424e-47
"HSP90AB1",1.17523872959133e-49,-0.485653732095683,0.305,0.406,3.76468139712424e-47
"ATP1B2",2.21961034464646e-49,-1.21250239146696,0.078,0.139,6.39913662361574e-47
"TUBB2A",1.01328166898058e-47,-0.639527009127964,0.15,0.237,2.65571913788274e-45
"VAMP2",6.0065067418746e-47,-0.460312030189458,0.353,0.453,1.44306324473537e-44
"ATP6V0C",8.05031329125032e-47,-0.479002664229429,0.278,0.373,1.7853117860519e-44
"PEBP1",3.46469638524082e-44,-0.531575161668244,0.283,0.38,7.13479977046378e-42
"PHYHIP",2.30217325421556e-43,-0.671829810490629,0.189,0.275,4.42477699460231e-41
"GPM6A",1.35806314817578e-42,-0.368839861274833,0.828,0.868,2.44706003511923e-40
"KANSL1",2.40178636116913e-42,0.361347547080865,0.521,0.435,4.07314710544154e-40
"MIF",8.90813795966552e-41,-0.712051384772251,0.145,0.218,1.42678676320643e-38
"TUBB",1.35824112856121e-40,-0.804028304370178,0.102,0.175,2.06095219665367e-38
"JUND",2.92174184423036e-40,-0.554164076551759,0.204,0.284,4.21169086845806e-38
"CFL1",8.38579442947424e-40,-0.580387601642644,0.189,0.271,1.15124977810353e-37
"SV2A",3.76453652185482e-39,-0.521301659193121,0.203,0.279,4.93325399659429e-37
"PKM",4.35780469698028e-39,-0.509967417838661,0.247,0.335,5.30783660317854e-37
"TUBB4A",4.41859446674593e-39,-0.706929559675446,0.124,0.197,5.30783660317854e-37
"RAB3A",4.97497437229694e-39,-0.655781529493102,0.133,0.206,5.73714044613284e-37
"EEF1A2",8.54902410835683e-39,-0.604789850860825,0.142,0.208,9.47955250168952e-37
"GNAS",1.61009965021729e-38,-0.470360756757368,0.336,0.411,1.71922862650979e-36
"ACTG1",2.09788112550973e-38,-0.477187535742835,0.234,0.317,2.16006831601591e-36
"SLC1A2",2.3168145872504e-38,-0.931417993702082,0.229,0.304,2.30323326035962e-36
"UBC",2.73674467474688e-38,-0.660996597109006,0.148,0.225,2.63001163243175e-36
"CALM2",3.08390369001801e-38,-0.230628619807626,0.607,0.692,2.86803043171675e-36
"HPCA",7.7099468047626e-38,-0.891056511608787,0.081,0.139,6.94618019941581e-36
"MEG3",2.33406109220786e-37,0.332882573653305,0.875,0.876,2.03912064510159e-35
"PCSK1N",2.97270699924502e-37,-0.576442611565572,0.171,0.241,2.52068067024218e-35
"TSPYL1",3.58825141627743e-37,-0.447579391698753,0.23,0.31,2.95569395232223e-35
"TPI1",9.52137513352489e-37,-0.634109577646579,0.143,0.217,7.62503458609785e-35
"ATP5F1D",1.50347059347085e-36,-0.743237539051691,0.105,0.168,1.17148803269634e-34
"PPP2R1A",1.80020619615967e-36,-0.590846709031517,0.157,0.23,1.36578801671798e-34
"BSG",5.63691832113205e-36,-0.557909622903147,0.162,0.235,4.16698346662146e-34
"TUBA1B",5.62883938495841e-35,-0.46178708463283,0.303,0.398,4.05698598670878e-33
"PRDX2",9.20765871135562e-35,-0.735819057168634,0.112,0.176,6.47455611337518e-33
